know behind ukraine free rich advanced west cant win stupid keep fighting get killed ukraine ukrainerussiawar warinukraine russiaukrainewar russiaisaterroriststate russians russia ukrainewar bachmut, {'neg': 0.267, 'neu': 0.424, 'pos': 0.309, 'compound': 0.1541}, {'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25};
breaking sunday canada gives ukraine seized russian cargo plane massive aircraft grounded toronto since start war raw video ukrainewar russia trending russians ukrainerussiawar video breakingnews russiaukrainewar ukrainecounteroffensive, {'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.5994}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.75, 'Sad': 0.0, 'Fear': 0.25};
russia keep blowing dams ukraine slow ukrainecounteroffensive, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
russian military monsters aiming flood rescue boats depth wont stoop russia russianaggression russianwarcrimes russiawontstopuntilweendthem, {'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5106}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
russia hopes take control wagner group months infighting yevgeny prigozhin says troops boycott contracts picture reuters russia appears trying take direct control influencers nikolai republic russia soldier, {'neg': 0.076, 'neu': 0.831, 'pos': 0.093, 'compound': 0.128}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5};
like japan like germany zelenskywarcriminal russiaisaterroriststate russiaukrainewar dnipro kakhovkadam putin kremlin wagner prigozhin belgorod zaporizhzhia crimea epstein ukrainecounteroffensive russia kiev trump2024 maga2024 woke tuckercarlson crt 1a, {'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.6124}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
ukrainerussiawar ukraine russia insane asylum long time official, {'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4019}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
oil tankers docking mexico russia recent days cuba could see severe fuel shortage ease near future, {'neg': 0.229, 'neu': 0.647, 'pos': 0.124, 'compound': -0.2732}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5};
another mysterious death former pm oilrich russian region dies run car russia ukraine britain kyiv patriots, {'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.5994}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33};
pm mishustin russia continues perfidiously conscientiously steal agricultural products fertilisers energy resources around world incl hindrance humanitarian aid people countries need, {'neg': 0.227, 'neu': 0.692, 'pos': 0.081, 'compound': -0.5859}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
according us nato experts russia running weapons, {'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
cant believe still keeping guy job need fired asap china russia adopting crypto usa abandoning usa used hub new technology anymore, {'neg': 0.246, 'neu': 0.754, 'pos': 0.0, 'compound': -0.7351}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
terrorist us marine feds agent rnm broadcast never stops targeting body parts inducing exhaust pain paradasp donetsk xboxshowcase rolandgarros fatalidade ukraine jim jordan panzer hatching jennieyouareloved scotland arrested lee mack russia tommy fury 無限城編, {'neg': 0.366, 'neu': 0.603, 'pos': 0.031, 'compound': -0.9482}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67};
level despair high 🤣 ukrainecounteroffensive ukraine russia, {'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
🚨 breaking 🚨 russia russias largest bank sberbank enable bitcoin crypto trading customers starting month 🪙🚀🌕, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
russia usa canada germany europeanunion european westerners seeking new life russia american village well underway, {'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
palestinian islamic jihad pij wiped ops shield arrow pij left leadership gaza russia ukraine britain kyiv patriot, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
people able answer question correctly access link view answer mathquiz russia, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
government overwhelm evil probably wouldnt even could job solely humanity still time acknowledge justownpf4a climate iran ukraine freealexei russia china hk taiwan uyghur myanmar freeales belarus balancepbg un, {'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.7269}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
russia claims powerful pole world balance west failed create successful political model others would want join, {'neg': 0.129, 'neu': 0.392, 'pos': 0.478, 'compound': 0.7845}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67};
war day 393 fierce freedom ukraines 'wild fields russia ukraine britain kyiv patriots, {'neg': 0.204, 'neu': 0.576, 'pos': 0.22, 'compound': 0.0772}, {'Happy': 0.25, 'Angry': 0.25, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.25};
would dismissive ! bigger mistake equating ukraina corruption & russian corruption close hit time levels ! russia invaded ukraine ! correctly labeled left absurd policies border crime, {'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.7767}, {'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25};
ukraine russia released 90 men new prisonerexchange officials said sunday, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
thats true failed state supports russia china somalia, {'neg': 0.243, 'neu': 0.368, 'pos': 0.39, 'compound': 0.25}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
russiablewthedam russia russianwarcrimes donetsk ukrainecounteroffensive, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
little fella got stuck mud russia destroyed kakhovka dam caused flood kherson region fortunately little guy volunteer rescued 🇺🇦🐶🐾💖, {'neg': 0.21, 'neu': 0.682, 'pos': 0.108, 'compound': -0.34}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.67};
⚡️ russian army blown dam mokri yaly river ukraine russia ukrainerussiawar, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
russia faring nato equipment ukraine tally 🇷🇺🇺🇦, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
let us clear trump nothing wrong joe biden stole least 2000 topsecret documents held hostile foreign powers view 4 bribes 2 bribe das 2 persecute trump seeing racist degenerate 🚩alvin bragg russia asset 🚩jack smith, {'neg': 0.26, 'neu': 0.566, 'pos': 0.173, 'compound': -0.5921}, {'Happy': 0.0, 'Angry': 0.29, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.14};
continuing use tools disposal expose disrupt activities including sharing public prepared ukraine drones iran russia potus nato, {'neg': 0.079, 'neu': 0.69, 'pos': 0.232, 'compound': 0.4767}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
believe ? 😅😅😅😅😅the drones rockets bullets chemical weapons light weapons bloody terrorist regime send russia syria afghanistan lebanon gaza venezuela cuba argentina toys children bastard, {'neg': 0.471, 'neu': 0.529, 'pos': 0.0, 'compound': -0.9509}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67};
think skabeyeva russia knowing shes wishing ? 🤔😳the moment might near difference chinese occupy consider chinese landeastern part russia ceded china russia 18581860treaty aigun peking, {'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.2263}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33};
caught attention suppose russia could offer discounted lng pakistan especially europe eventually bans russian lng uslng ongt oil oott tankers 🚢, {'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.0516}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.75};
wagner boss prigozhin says soldiers wont sign contracts russian army politico russia russiamilitary russoukrainianwar wagner russiandefenseministry, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
russia ukraine war ministry defense russian federation published video return russian servicemen ukrainian captivity, {'neg': 0.224, 'neu': 0.69, 'pos': 0.086, 'compound': -0.5267}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
🔥 new episode alert 🚨 tune ep 32 evarlastingtalks biography series featuring ivan terrible 🌟 streaming spotify listen 👉 podcastrecommendation historypodcast history biography legacy past russia stories, {'neg': 0.118, 'neu': 0.798, 'pos': 0.084, 'compound': -0.2263}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
russia fog war lies, {'neg': 0.77, 'neu': 0.23, 'pos': 0.0, 'compound': -0.7717}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
new video ukraine ukrainian drone operator celebrates big hit air counter offensive raw video ukrainewar russia trending ukrainerussiawar video breakingnews russiaukrainewar ukrainecounteroffensive, {'neg': 0.112, 'neu': 0.749, 'pos': 0.139, 'compound': 0.1779}, {'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.0};
benshapiro jews white people fair deal elonmusk zelensky russiaukrainewar kakhovkadam counteroffensive putin kremlin maga2024 trump2024 prigozhin belgorod ukrainewar zaporizhzhia crimea russia kiev neoconservatism crt 1a, {'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.3182}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
hot take independent ! ! ! look day democratic party afraid donald trump trying imprison classified documents clintons bush family obama even biden acceptablerussia biden, {'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.5538}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17};
ukrainian forces still way go reach russias main fortified defensive line ukraine donetsk ukrainecounteroffensive nato russia, {'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.0516}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
🇷🇺⚡️russians firing isdm zedeliye mainelaying system ukraine russia, {'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
well thing meghanmarkle dbm thats need know news bbc maga trump biden usa chickenwings lol bbcnews boris sunak biden starmer meta musk uk russia ukraine §hithole xbox ps5 bobmarley crap facup rwanda itv cnn, {'neg': 0.068, 'neu': 0.805, 'pos': 0.127, 'compound': 0.3182}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
american citizen arrested moscow drugs charges russia, {'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.6369}, {'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
russian wagner group destroyed ukraine russia ukraine britain kyiv patriot, {'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.4939}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33};
russian defense ministry released video repelling attack naval unmanned speedboats black sea fleet ship priazovye ukraine russia classicalwar, {'neg': 0.15, 'neu': 0.777, 'pos': 0.073, 'compound': -0.3818}, {'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5};
⚡️ ukrainian military fully controls neskuchne village near velyka novosilka ukraine russia ukrainerussiawar, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
russia loses 17 tanks 24 apvs day amid counteroffensive ukraine russia loses tanks counteroffensive, {'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.5574}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.0};
putin russia russiaukrainewar ukraine yet comrade, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
fake gangster eventually attempt plea avoid jail time run northkorea russia‼️🤮🤪🔥🥴👎🏽😈, {'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.6486}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.5, 'Fear': 0.0};
usa uk unprotected law days anyone supports russia ukraine facing fate imrankhanpti imranriaz look trumpindicment, {'neg': 0.139, 'neu': 0.722, 'pos': 0.139, 'compound': 0.0}, {'Happy': 0.25, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.25};
many getting combat experience using latest tools ukraine wont join nato2023 lead first repel bully send back empty home reflect two generations russia backed putinwarcriminal blindly long, {'neg': 0.287, 'neu': 0.679, 'pos': 0.034, 'compound': -0.8013}, {'Happy': 0.0, 'Angry': 0.2, 'Surprise': 0.0, 'Sad': 0.4, 'Fear': 0.4};
blood today explanation past zelensky russiaukrainewar dnipro kakhovkadam counteroffensive putin kremlin wagner trump2024 prigozhin belgorod ukrainewar poland zaporizhzhia crimea nuland neocons russia woke kiev belarús maga2024 crt 1a, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
exciting work isdm agriculture zaporozhye front near orekhovo russia news war ukrainerussiawar, {'neg': 0.228, 'neu': 0.585, 'pos': 0.187, 'compound': -0.1779}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
russia destroyed american mrap zaporizhia direction via, {'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.4939}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
imminent warning report ⇩ us intelligence says iran providing materials russian attack drone factory russia iran drone drones droneproduction iraniandrones unmanned military supplychain osint, {'neg': 0.192, 'neu': 0.699, 'pos': 0.108, 'compound': -0.34}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
'since dams collapse tuesday rushing waters uprooted landmines torn caches weapons ammunition carried 150 tons machine oil black sea entire towns submerged rooflines ukrainewar russia military, {'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.7964}, {'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.57, 'Fear': 0.29};
feud shoygu prigozhin signifies another major stride toward disintegration russian state spectacle behold fall evil empire imminent ukrainecounteroffensive russia ukraina melitopol, {'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.7783}, {'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0};
saint petersburg today 1106 front hermitage preparations 12th june russias national day, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.0};
russia ukraine swap total nearly 200 prisoners sharjah24, {'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5106}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
russia arrests us citizen drug dealing charges fact dealing drugs theres sympathy question though dealing, {'neg': 0.256, 'neu': 0.615, 'pos': 0.128, 'compound': -0.3612}, {'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33};
leave bridge go approach road ukrainians need bridge even though shabby russian job ukraine russia crimea, {'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.0516}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
4th dam russia blown didnt blow kakhova dam scroched earth tactic also scorch process russiaisaterroriststate ukraine russianwarcrimes, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
genocide russia really hasnt worked far doh russiaisaterroriststate, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5};
war crimes fascist russia remains always land barbarians putinwarcriminal, {'neg': 0.517, 'neu': 0.483, 'pos': 0.0, 'compound': -0.8176}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5};
governor russian attack evacuation boat kills 3 injures 10 kherson oblast 🔗 kakhovka russia bbcbreaking wimbledon, {'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.765}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
